name,long,lat,dis to an airport,range,airports 40km,airports 10km,schools 5km,schools 2km,veggies 500m,veggies 100m,party 1km,party 500m,starbucks 500m,starbucks 100m
Z2Live,-122.33997820000002,47.6103008,9.3726998981346,0-10km,2,1,25,9,5,0,16,8,12,0
Tongal,-118.48974799999999,34.007112,10.413635719230797,10-20km,1,0,38,15,3,0,11,3,1,0
oneforty,-71.101375,42.36401400000001,7.901485429137398,0-10km,1,1,55,18,13,6,11,10,1,0
Chartbeat,-73.990967,40.73343,11.094848471247596,10-20km,3,0,87,30,4,0,18,5,5,0
Brandsclub,-46.6388182,-23.5489433,8.765361456008916,0-10km,2,1,17,2,5,0,7,1,1,0
CoTweet,-122.37647140000001,37.7405936,13.521287849202562,10-20km,2,0,21,2,0,0,0,0,0,0
MyEdu,-97.75015400000001,30.288159000000004,12.957500639619255,10-20km,1,0,31,12,0,0,4,1,0,0
Catchafire,-73.983171,40.746417,9.921920672410957,0-10km,3,1,101,26,9,1,16,7,6,0
1calendar,12.5751278,55.6770321,8.305496827887207,0-10km,1,1,46,16,5,1,28,12,4,0
1calendar,12.524884,55.680231799999994,10.757063731874519,10-20km,1,0,45,19,1,0,6,1,2,0
Ikanos,-121.9417078,37.4734314,12.375114120667341,10-20km,2,0,14,1,0,0,0,0,0,0
drchrono,-122.09330530000001,37.420207399999995,15.866143829205887,10-20km,3,0,48,12,4,1,2,0,1,0
Shareaholic,-71.10325909999997,42.3647559,8.056330292899384,0-10km,1,1,54,19,12,2,11,10,1,0
DP7 Digital,-46.6773686,-23.5815208,5.3993640706582475,0-10km,2,1,28,9,10,0,10,1,2,0
DP7 Digital,-48.548341799999996,-27.5995476,7.875602059809876,0-10km,1,1,21,11,4,0,22,8,0,0
Carrier Mobile,-83.7422325,42.2802707,32.883757663687895,20-50km,1,0,25,9,11,1,37,12,1,0
Sofa Labs,-122.32292350000002,37.5646055,7.591815431959088,0-10km,2,1,42,21,22,6,26,25,1,0
The Resumator,-80.001933,40.438423,20.411359346580202,20-50km,1,0,20,9,11,0,11,4,5,0
Vaultive,-74.011114,40.707954,13.395342783762205,10-20km,3,0,74,21,10,0,22,13,13,2
Fliptop,-122.41920900000001,37.775206,17.799590292704845,10-20km,2,0,69,30,4,0,8,0,1,0
ClickFuel,-71.0680027,42.3406534,5.791770088994838,0-10km,1,1,50,17,3,0,1,1,0,0
Gravity,-118.489681,34.007967,10.474981507490238,10-20km,1,0,39,18,3,0,12,3,1,0
Chicisimo,-2.9308322,43.264499,248.1447043388209,100-300km,0,0,24,18,7,0,31,14,1,0
Althea Systems,77.61368470000002,12.934960400000001,30.9106748985639,20-50km,1,0,36,13,8,2,20,15,1,1
Udorse,-73.986951,40.756054,9.913364255749912,0-10km,3,1,93,22,3,0,26,9,12,0
BitMethod,-93.621998,41.581232,6.2673216047457805,0-10km,1,1,24,8,4,1,25,14,1,0
VistaGen Therapeutics,-122.3843489,37.6656476,5.251950626039407,0-10km,2,1,14,1,1,0,1,0,0,0
ipadio,0.0118608,51.8205815,16.917183038525344,10-20km,2,0,12,1,0,0,2,0,0,0
Applied Genetics Technologies Corporation,-82.4768036,29.7847641,109.43604075881134,100-300km,0,0,11,5,0,0,1,0,0,0
Solix Biofuels,-105.0766501,40.5932386,88.26708746413351,50-100km,0,0,24,7,2,0,32,3,1,0
Ykone,2.3509870999999998,48.8566667,14.97186819007804,10-20km,2,0,29,12,1,0,17,4,3,0
Clovis Oncology,-105.259041,40.025999999999996,53.19600926505044,50-100km,0,0,29,12,6,0,6,1,1,0
Layar,4.8928722,52.3657578,10.825336262225543,10-20km,1,0,50,23,3,0,29,15,2,0
Actinobac Biomed,-74.478931,40.455501,37.16229124010694,20-50km,1,0,23,7,0,0,0,0,0,0
Lipperhey,4.9345824,52.3655578,13.213811355704332,10-20km,1,0,41,9,4,0,8,2,0,0
ticketea,-3.7061763999999995,40.445515500000006,12.493995830146394,10-20km,1,0,35,17,1,0,5,1,0,0
Delphi,-83.16134,42.603532,46.26241301984189,20-50km,0,0,21,8,0,0,1,0,0,0
ChallengePost,-74.00717,40.7408042,12.035367163396327,10-20km,3,0,77,25,4,0,15,11,3,0
Getyoo,4.3464721,50.83997,11.848725764672515,10-20km,1,0,26,8,5,0,19,4,0,0
Tiny Speck,-123.10921699999999,49.28245510000001,11.244331310277037,10-20km,1,0,27,15,7,1,21,11,6,0
