Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Pocket Gems,https://angel.co/company/pocket-gems,5,Mar '13,San Francisco,Mobile Games,http://www.pocketgems.com,201-500,Closed,65000000
Discord,https://angel.co/company/discordapp,5,Aug '12,San Francisco,Messaging,http://www.discordapp.com,51-200,"",278200000
Easy as Pi,https://angel.co/company/easy-as-pi,5,Mar '15,San Francisco,Mobile Commerce,http://getpi.co/,"","",""
Plain Vanilla Games,https://angel.co/company/plain-vanilla-games,5,May '12,San Francisco,iPhone,http://www.plainvanillagames.com,"","",34900000
Kwarter,https://angel.co/company/kwarter,5,Jul '11,San Francisco,Social Television,http://www.kwarter.com,11-50,"",8950000
Mino Games,https://angel.co/company/minogames,5,Jun '12,San Francisco,Mobile Games,http://www.mino-games.com/,11-50,"",34318000
Dygest,https://angel.co/company/dygest,5,Feb '11,San Francisco,Social Games,http://dygest.com,"","",""
Degreed,https://angel.co/company/degreed,5,Sep '12,San Francisco,Knowledge Management,http://degreed.com/,1-10,Series A,40800000
Chartboost,https://angel.co/company/chartboost,5,Feb '11,San Francisco,Mobile Advertising,http://www.chartboost.com,51-200,Series B,21000000
Niantic,https://angel.co/company/niantic,5,Aug '15,Seattle,Location Based Services,http://www.nianticlabs.com,201-500,Series C,470000000
CrossInstall,https://angel.co/company/crossinstall,5,Feb '14,San Francisco,Advertising Exchanges,http://www.crossinstall.com/,51-200,"",""
Revision3,https://angel.co/company/revision3,5,Jan '12,San Francisco,Social Bookmarking,http://www.revision3.com,"",Acquired,9000000
Kiip,https://angel.co/company/kiip,5,Feb '12,San Francisco,Games,http://www.kiip.me,51-200,Series C,27300000
Junglee Games,https://angel.co/company/junglee-games,5,Sep '11,San Francisco,Mobile Games,https://www.jungleegames.com/,201-500,Seed,3500000
Kongregate,https://angel.co/company/kongregate,5,Jan '12,San Francisco,Games,http://kongregate.com,"",Series C,19000000
Grockit,https://angel.co/company/grockit,5,Nov '12,San Francisco,Kids,http://grockit.com,"",Acquired,44720000
PlayHaven,https://angel.co/company/playhaven,5,Apr '10,San Francisco,Mobile Games,http://www.playhaven.com,51-200,Acquired,9000000
Mochi Media,https://angel.co/company/mochi-media,5,Jan '12,San Francisco,Games,http://mochimedia.com,"",Acquired,94000000
Rupture,https://angel.co/company/rupture,5,Jan '12,San Francisco,Social Network Media,http://rupture.com,"",Acquired,18000000
Ngmoco,https://angel.co/company/ngmoco,5,Jan '12,San Francisco,iPhone,http://www.ngmoco.com,"",Acquired,444800000
World Golf Tour,https://angel.co/company/world-golf-tour,5,Feb '13,San Francisco,Facebook Applications,http://www.wgt.com,"",Acquired,21000000
Rivet Games,https://angel.co/company/rivet-games,5,Jan '12,San Francisco,Games,http://rivetgames.com/,"",Series B,""
SnowShoe Stamp,https://angel.co/company/snowshoe-stamp,5,Apr '12,San Francisco,Mobile Games,http://www.snowshoestamp.com,1-10,"",3477000
Fuel Powered ,https://angel.co/company/fuel-2,5,Dec '11,San Francisco,Mobile Games,http://www.fuelpowered.com,11-50,Series A,3500000
Serious Business,https://angel.co/company/serious-business,5,Jan '12,San Francisco,Facebook Applications,http://Acquired by Zynga,"",Acquired,4000000
Simraceway Online Racing World ,https://angel.co/company/simraceway-online-racing-world,5,Oct '12,San Francisco,Gambling,https://www.simraceway.com/,11-50,"",14025500
Booyah,https://angel.co/company/booyah,5,Sep '12,San Francisco,Mobile Games,http://www.booyah.com,"",Series C,29500000
Apportable,https://angel.co/company/apportable,5,Mar '12,San Francisco,Android,http://www.apportable.com,11-50,"",20010000
Applifier,https://angel.co/company/applifier,5,Aug '12,San Francisco,Facebook Applications,http://www.applifier.com,"",Acquired,6000000
Famous.AF / Stolen,https://angel.co/company/famousaf,5,Jul '12,San Francisco,Mobile Games,http://famous.af,11-50,"",5500000
Kamcord,https://angel.co/company/kamcord,5,Aug '12,San Francisco,Mobile Games,http://kamcord.com,11-50,Series C,37250000
King.com,https://angel.co/company/king-com,5,Jan '17,San Francisco,Mobile Advertising,http://www.king.com,1001-5000,"",7443000000
Mixamo,https://angel.co/company/mixamo-1,5,May '12,San Francisco,Film Production,http://www.mixamo.com,"",Acquired,11876235
